Aaron, Hank
Nuwas, Abu
Obama, Barack
Oberst, Conor
O'Brien, Conan
Ochs, Phil
O'Donnell, Rosie
Ogi, Adolf
Ogilvy, David
O'Keeffe, Georgia
Oliver, Jamie
Oliver, Robert T.
Olson, Ken
Olsen, Mary-Kate and Ashley
Onassis, Jacqueline Kennedy
Ondrick, William F.
Oppenheimer, J. Robert
O'Reilly, Bill
O'Rourke, P. J.
Ortiz, David
Orwell, George
Osama bin Laden
Osbourne, Ozzy
O’Shaughnessy, Arthur
Osho (also known as Bhagwan Shree Rajneesh)
Ouspensky, P. D.
Overbury, Thomas
Ovid
Owens, Jesse
Owsen, Dan
Page, Larry
Paige, Satchel
Paine, Thomas
Palahniuk, Chuck
Palgrave, Francis Turner
Palin, Michael
Palme, Olof
Parker, Dorothy
Parton, Dolly
Pascal, Blaise
Pasteur, Louis
Patanjali
Pater, Walter
Paterson, Isabel
Patrick, Saint
Patton, George S.
Paul VI (Pope)
Paul, Ron
Pauli, Wolfgang
Pauling, Linus
Payack, Paul JJ
Payne, Max
Peel, John
Peguy, Charles
Peirce, Charles Sanders
Penn, William
Percy, Walker
Peres, Shimon
Perger, Andreas Paolo
Pericles
Perle, Richard
Perlis, Alan
Perry, Michael D.
Perry, Oliver Hazard
Pessoa, Fernando
Pet Shop Boys (Neil Tennant and Chris Lowe)
Peter Kay
Peter, Dr. Laurence J.
Petronius, Gaius
Petty, Tom
Phelps, Michael
Philip, Duke of Edinburgh
Philips, Emo
Piaget, Jean
Picasso, Pablo
Pieper, Josef
Pinker, Steven
Piper, Roddy
Piraten, Fritiof Nilsson
Pirsig, Robert M.
Plath, Sylvia
Plato
Plimpton, Martha
Poe, Edgar Allan
Poincare, Henri
Pola?ski, Roman
Pompey the Great
Ponsonby, Arthur
Pope, Alexander
Popper, Karl
Porson, Richard
Postel, Jon
Powell, Colin
Pratchett, Terry
Premchand, Munshi
Presley, Elvis
Priestley, Joseph
Proudhon, P. J.
Puget, Jade
Punja, Hari
Purcell, Steve
Pushkin, Aleksandr
Putin, Vladimir
Pynchon, Thomas
Qarase, Laisenia
Qin Shi Huang
Quale, Anthony
Quarles, Francis
Quayle, Dan
Marie, Queen of Romania
Quine, Willard van Orman
Quintilian, Marcus Fabius
Quisenberry, Dan
Raajan, Amitrajit
Rabelais, Francois
Rabin, Yitzhak
Rabuka, Sitiveni
Radner, Gilda
Rae, Pramod
Raleigh, Sir Walter
Ramirez, Manny
Rand, Ayn
Ranke, Leopold von
Ransome, Arthur
Rascoe, Burton
Raskin, Jef
Ravuvu, Asesela
Ray, Gene
Ray, James Arthur
Reagan, Nancy
Reagan, Ronald
Reagan, Ron
Rees, Nigel
Reeve, Christopher
Rehnquist, William
Reich, Wilhelm
Reid, Harry
Reisman, George
Rexroth, Kenneth
Rice, Condoleezza
Richards, Keith
Richelieu, Cardinal
Rickover, Hyman G.
Riley, Tim
Rilke, Rainer Maria
Rimbaud, Arthur
Ripa, Kelly
Ritter, Scott
Rivers, Joan
Robbins, Anthony
Robespierre, Maximilien
Robinson, Jackie
Robinson, Kim Stanley
Robinson, Spider
Rockefeller, John D.
Rockne, Knute
Rodriguez, Alex
Rogers, Fred
Rogers, Will
Romano, Ray
Rommel, Erwin
Roosevelt, Eleanor
Roosevelt, Franklin Delano
Roosevelt, Theodore
Rosing, Wayne
Roth, Geneen
Roth, Philip
Rothbard, Murray
Rothschild, Baron
Roux, Joseph
Rousseau, Jean-Jacques
Rovabokola, Ratu Viliame
Roy, Arundhati
Rudner, Rita
Ruiz, Don Miguel
Rukeyser, Louis
Rumbold, Richard
Rumi, Jalal al-Din Muhammad
Rumsfeld, Donald
Runnels, Dustin
Rushton, Willie
Ruskin, John
Russell, Bertrand
Russell, Nipsey
Russell, Rosaland
Ruth, Babe
Rutherford, Ernest
Sabato, Ernesto
Sade, Donatien de
Sagan, Carl
Saint-Exupery, Antoine de
Saint-Just, Louis de
Saki
Salk, Jonas
Salinger, J. D.
Sallust
Sanger, Margaret
San Martin, Jose de
Santayana, George
Sappho
Saroyan, William
Sartre, Jean-Paul
Sarven, Allen
Sathya Sai Baba
Satriani, Joe
Sawyer, Diane
Saul, John Ralston
Savitri Devi
Schaar, John
Schama, Simon
Schiller, Friedrich von
Schluter, Poul
Schneier, Bruce
Schopenhauer, Arthur
Schroder, Gerhard
Schulberg, Budd
Schultz, Charles M.
Schweitzer, Albert
Seabrook, Jeremy
Seagal, Steven
Sedaris, David
Sedgwick, John
Seigle, Lucy
Seldes, George
Sellers, Peter
Serling, Rod
Serrano, Miguel
Seuss, Dr.
Shahak, Israel
Shakespeare, William
Shakur, Tupac
Shankar, Ravi
Sharpton, Al
Shaw, George Bernard
Shawcross, Hartley
Sheck, Barry
Shedd, John
Shelley, Mary Wollstonecraft
Shelley, Percy Bysshe
Sheridan, Richard Brinsley
Sherman, William Tecumseh
Shevardnadze, Eduard
Shinoda, Mike
Shirley, James
Schopenhauer, Arthur
Shrivastava, Mataji Nirmala
Siegel, Jerry
Simak, Clifford D.
Simon, Paul
Simonides of Ceos
Simpson, Jack
Simpson, Jessica
Sinclair, Upton
Singer, Isaac Bashevis
Sidhu, Navjot Singh
Singh, Raman Pratap
Singh, Sir Vijay
Sitwell, Edith
Sixtus V (pope)
Scanderbeg|Skenderbeu(The prince of Arberia)
Slick, Grace
Smirnoff, Yakov
Smith, Adam
Smith, Anna Nicole
Smith, Elliott
Smith, Gordon
Smith, Joseph
Smith, Kevin
Smith, Logan Pearsall
Smith, Margaret Chase
Smith, Sydney
Smollett, Tobias
Smuts, Jan Christiaan
Snepscheut, Jan L. A. van de
Snoop Dogg (Calvin Cordozar Broadus)
Snow, Carrie
Sobran, Joseph
Socrates
Solomon
Solzhenitsyn, Alexander
Sontag, Susan
Soong May-ling
Sorkin, Aaron
Soros, George
Southerne, Thomas
Sowell, Thomas
Sparber, Max
Spears, Britney
Speijk, Jan van
Spence, Gerry
Spencer, Herbert
Spielberg, Steven
Spinoza, Baruch
Spock, Benjamin
Spolsky, Joel
Springsteen, Bruce
Spurgeon, Charles Haddon
Stalin, Joseph
Stallman, Richard M
Stanley, Henry Morton
Stanton, Elizabeth Cady
Starr, Ringo
Starrett, Vincent
Stein, Gertrude
Stein, Herbert
Steinbeck, John
Steinem, Gloria
Stephenson, Neal
Sterling, Bruce
Stevens, Wallace
Stevenson, Adlai
Stevenson, Robert Louis
Stewart, James (Jimmy)
Stewart, Jon
Stein, Ben
Stimson, Henry L.
Stokowski, Leopold
Stone, I. F.
Stone, Lucy
Stone, W. Clement
Stoner Jr., James R.
Stoppard, Tom
Stout, Rex
Stowe, Madeleine
Stratford, Lord (Tony Banks)
Strauss, Richard
Stravinsky, Igor
Stroustrup, Bjarne
Sturgeon, Theodore
Sukuna, Ratu Sir Lala
Sulla, Lucius Cornelius
Sun Tzu
Sutherland, Kiefer
Suvorov, Alexander Vasilyevich
Suzuka, Shunryu
Swedenborg, Emanuel
Sweetnam, Skye
Swift, Jonathan
Swinburne, Charles Algernon
Swindoll, Charles
Syrus, Publilius
Szilard, Leo
Tacitus
Tagore, Rabindranath
Taleb, Nassim Nicholas
Tannen, Deborah
Tate, Sharon
Tavola, Kaliopate
Tchaikovsky, Pyotr Ilyich
Tecumseh
Teilhard de Chardin, Pierre
Tennyson, Alfred (Lord)
Tenzin Gyatso (14th Dalai Lama)
Teresa of Avila (Teresa de Jesus)
Tertullian
Tesla, Nikola
Thackeray, William Makepeace
Thant, U
Thatcher, Margaret
The Rock
Theron, Charlize
Thomas Aquinas
Thompson, Dorothy
Thompson, Hunter S.
Thomson, William - a.k.a. Lord Kelvin
Thoreau, Henry David
Throttle, Ben
Thucydides
Thurber, James
Tilopa
Tito, Josip Broz
Tocqueville, Alexis de
Todorov, Tzvetan
Tohei, Koichi
Tolkien, J. R. R.
Tolstoy, Leo
Tomlin, Lily
Tora, Apisai
Torre, Joe
Torvalds, Linus
Toynbee, Arnold
Toynbee, Arnold Joseph
Traficant, James A., Jr.
Travaglia, Simon
Travers, P. L.
Trollope, Anthony
Trotsky, Leon
Trudeau, Pierre
Truman, Harry S.
Trump, Donald
Truth, Sojourner
Tucker, Gideon
Tudor, John
Tugia, Manasa
Tuibua, Esala
Turner, Ted
Turtledove, Harry
Tutu, Desmond
Twain, Mark
Tweed, William Marcy ("Boss")
Tyger, Frank
Tynan, Kenneth
Tzara, Tristan
Tzu Hsi
Ueshiba, Morihei
Unamuno, Miguel de
Updike, John
Ustinov, Peter
Valenti, Jack
Valery, Paul
Vance, Jack
Van Gogh, Vincent
Varese, Edgard
Ventura, Jesse
Venturi, Ken
Vidal, Gore
Virgil
Jarmo Visakorpi
Vivekananda, Swami
Vixie, Paul
Voltaire
Von Karman, Theodore
Vonnegut, Kurt
Vosanibola, Josefa
Vaughan, Norman D.
Wagner, Jane
Wainwright, Rufus
Waitley, Denis
Waits, Tom
Walberg, Tim
Wales, Jimbo
Walesa, Lech
Walken, Christopher
Walker, Murray
Wall, Larry
Wallace, Alan
Wallace, David Foster
Waqabaca, Josaia
Waradi, Taito
Warhol, Andy
Warner, Harold
Warren, Earl
Warren, Rick
Warren, Robert Penn
Washington, Booker T.
Washington, George
Washington, Martha
Watson, Thomas J.
Watterson, Bill
Watts, Alan
Waugh, Evelyn
Weber, David
Webster, Daniel
Webster, Noah
Weil, Simone
Weinberger, David
Welch, Jack
Welles, Orson
Wellesley, Arthur
Wells, H. G. (Herbert George)
Wellstone, Paul
Wesley, John
West, Mae
West, Morris
Whedon, Joss
White, Andrew Dickson
White, E. B. (Elwyn Brooks)
White, Reggie
White, T. H. (Terence Hanbury)
Whitehead, Alfred North
Whitman, Walt
Whittier, John Greenleaf
Wiesel, Elie
Wilber, Ken
Wilberforce, William
Wilcox, Ella Wheeler
Wilde, Oscar
Wilder, Thornton
Wilkes, Maurice
William I, King of England
William of Occam
Williams, Robin
Williams, Roger
Williams, Ted
Williams, Tennessee
Williamson, Henry
Wilson, Robert Anton
Wilson, Brian
Wilson, Colin
Wilson, Flip
Wilson, Ron
Wilson, (Thomas) Woodrow
Winfrey, Oprah
Winner, Michael
Winter, William
Winchell, April
Winchell, Walter
Wittgenstein, Ludwig
Wodehouse, P. G.
Wolff, Christian
Wolfowitz, Paul
Woodward, Bob
Woolf, Virginia
Wordsworth, William
Wozniak, Steve
Wright, Frank Lloyd
Wright, Steven
Wright, Wilbur
Wyden, Ron
Wylie, Philip
Wilson, Eugene S.
X, Malcolm
Yankovic, "Weird Al"
Yanni
Yamamoto,Isoroku
Yashinsky, Edward
Yeats, William Butler
Yeltsin, Boris
Yockey, Francis Parker
Yorke, Thom
Yoshida, Takeo
Young, Cy
Young, Edward
Young, Neil
Young, Tyler Shell
Youngman, Henny
Yourcenar, Marguerite
Yutang, Lin
Zacharek, Stephanie
Zappa, Frank
Zawinski, Jamie
Ze Tom
Zeldin, Theodore
Ziglar, Zig
Zimmermann, Philip
Zinck, Kenneth
Zinn, Howard
Zola, Emile
